no,pricechangepercent,Revenuegrow,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4,Fin,Mar,Finrate,Marrate
1104,0,9.43850743209073,0,20,0.00554670901874342,-6.11986497276801E-06,-0.000111687535753016,0.00107122116483331,-3.059932486384E-06,-7.03784471868321E-05,0,0,0,0,2,0,0,3,0.0030647069310703,-0.00316062777830484,5.57858176868653E-05,-1.98007805254294E-05,5.99358100730535E-05,0,-0.0600000000000001,-0.04,-0.140000000000001,0.240000000000009,-0.00284002920553939,0.00441543476582978,-0.00135478089789323,-0.000260013228065441,3.93885656681942E-05,0,0.0399999999999996,-0.0399999999999991,-0.0899999999999999,0.0900000000000034,-0.00244555476688091,0.00404577515728188,-0.00128595839038345,-0.000362535088466287,4.82730884487454E-05,0,0.0299999999999998,-0.04,-0.0700000000000003,0.0799999999999983,0.00361837016514909,3.059932486384E-05,0.0144735070562172,0.000122397522674141
1108,0,26.2708881967307,0,20,-0.00227801661414838,0,-8.89464187736893E-05,-0.0031501856649015,0,-1.23536692741235E-05,0,0,0,0,0,0,0,0,-0.00491910489351416,0.00857645811629365,-0.0026600567448182,-0.00068089459730615,-0.000316401880655123,0,0.12,0.04,-0.0100000000000007,-0.120000000000005,-0.0183475816947667,0.0247235178723931,-0.00332244014044331,-0.00247084930621552,-0.000582646730967666,0,0.31,0.2,-0.149999999999999,-0.359999999999999,-0.0177187675847562,0.0229757474526198,-0.0023730451701009,-0.00247956526667666,-0.000404369431086037,0,0.32,0.24,-0.21,-0.329999999999998,0.0100311794505883,0.000172951369837729,0.0401249209361164,0.000691808981657179
1109,0,-7.24144011071041,0,20,0.00532477293372293,4.50932744732167E-06,-0.000663824468574591,0.00463360591545155,-3.64313886762214E-05,-0.000605337731255243,0,0,0,0,0,1,0,2,0.00218863150748583,-0.00132454390052983,-0.00138922580400316,-9.28334625376892E-05,0.00061797165958485,0,-0.02,-0.0499999999999998,-0.0600000000000005,0.13000000000001,0.00577013995849174,-0.00505921261377273,-0.00208399626893335,0.000334461471964108,0.00103860745225025,0,-0.0600000000000001,-0.11,-0.130000000000001,0.300000000000011,0.0116202698934488,-0.0138342277003253,0.00103473040445123,-0.000308919757127803,0.00148814715955315,0,-0.12,-0.13,-0.210000000000001,0.460000000000008,0.00408822293862237,0,0.0163529810852858,0
1203,0,-3.23444942597849,0,20,4.58333333333333E-05,0,-1.25E-05,0.000425,0,0,0,0,0,0,0,0,0,0,0.00114874469854176,-0.000962666576059118,-0.000225680401817144,3.69132045212866E-05,2.68907481322175E-06,0,-0.0300000000000002,-4.44089209850063E-16,0.0299999999999994,0.00999999999999091,0.00179170243044402,-0.00122864803778291,-0.000641953233373103,7.36012751004489E-05,5.29756561150948E-06,-0.01,-0.04,-0.0699999999999998,0.0300000000000002,0.0999999999999943,0.00273273764007176,-0.00211446062940313,-0.000673883079716692,4.74087131240924E-05,8.19735592391419E-06,-0.01,-0.0600000000000001,-0.0699999999999998,-0.0200000000000005,0.159999999999982,0.00169583333333333,0,0.00678333333333333,0
1210,0,0.858929105253655,18,5,-0.0165818722119458,-0.0046697068534243,-0.00201368462845716,-0.00406644029869997,-0.00208796976866146,-0.000690164419477215,0,1,1,0,2,2,2,6,0.00288692287074466,-0.00266688841318075,-0.000267299607906765,-1.15916805088385E-05,5.88568308516777E-05,0,-0.0800000000000001,-0.0700000000000003,-0.0199999999999996,0.179999999999993,0.0071881912922398,-0.00659647863138074,-0.000637570295627984,-4.23818457703506E-05,8.82394805392928E-05,0,-0.2,-0.17,-0.0999999999999996,0.469999999999999,0.00797086108472644,-0.00721133189970052,-0.000960662131734263,0.000119828290924134,8.13046557842046E-05,0,-0.22,-0.23,0.0100000000000016,0.439999999999998,0.00331786572936069,6.16434069935867E-05,0.0132715124205885,0.000246574547704923
1217,0,4.72775231527977,19,6,-0.00116889668674173,0,-4.04438031171722E-06,-0.00361761730122481,0,0,0,0,0,0,0,0,0,0,0.000942988472120154,-0.000766438422279275,-0.000201866137310547,-2.20024446103938E-05,4.73185320800521E-05,0.01,-0.0300000000000011,-0.0299999999999976,-0.0600000000000023,0.130000000000003,0.00164734935612698,-0.00123668437284236,-0.000369949040176065,-0.000125602341880162,8.48863987716704E-05,0,-0.0500000000000007,-0.0500000000000007,-0.310000000000002,0.410000000000004,0.00257639360017614,-0.00212864678279431,-0.000500464757210217,3.50794409812068E-05,1.76384988471784E-05,0,-0.0899999999999999,-0.0899999999999999,-0.0700000000000003,0.230000000000011,0.0184403520312746,0.00147215443346507,0.0737616074028537,0.00588863364286408
1236,0,-9.89156185566606,5,20,0.000397627856323432,0,0,0.000517617692261329,0,0,0,0,0,0,0,0,0,0,0.000132905843646447,-0.000154157700563998,7.39327118123405E-05,-4.83441189257491E-05,-4.33673596896694E-06,0.01,0.0100000000000002,0.0300000000000002,-0.0199999999999996,-0.0200000000000102,0.000882518847119207,-0.0006285566446501,-0.000182958071129134,-6.07666792275703E-05,-1.02374521123321E-05,0.02,0.0100000000000002,0.00999999999999979,-0.00999999999999979,-0.0200000000000102,0.00221785293164545,-0.00207133520834168,-4.49617750261713E-05,-8.1479775456438E-05,-2.00761728210443E-05,0.03,-0.02,0.04,-0.0199999999999996,-0.0200000000000102,0.000378429482573368,0,0.0015137529998154,0
1256,0,-4.57960217768137,0,20,0.00407775390223319,-0.00805108184583963,-2.95489413205304E-05,0.00354587295846364,-0.00326415335191371,-5.90978826410607E-05,0,0,0,0,1,0,1,2,0.000785907651320916,-0.000798220127087967,0.00020536280336024,-0.000208150533722593,1.51002061294292E-05,0,-0.0600000000000005,0.140000000000001,-0.0800000000000001,0,0.000171263713212078,0.00071987634655446,-0.000468755341109323,-0.000440956181967144,1.85714633100138E-05,-0.01,0,0.0400000000000009,-0.109999999999999,0.0799999999999841,0.00415453132793303,-0.00320437989609662,0.00020536280336024,-0.00117061444132606,1.51002061294292E-05,-0.01,-0.140000000000001,0.300000000000001,-0.0300000000000011,-0.120000000000005,0.00706219697560676,0.000236391530564243,0.0282505910165485,0.000945626477541371
1304,0,-17.5208093529554,0,20,0.0341215801124446,0.00545377192351549,0.000667079700882472,0.0254481114199755,0.00192153022867879,7.90737602559298E-05,1,0,2,2,7,1,1,3,0.000993280572887612,0.000476912901848314,-0.00123464839623272,-0.000323450346833922,8.79052683307249E-05,0,-0.00999999999999979,-0.139999999999999,-0.229999999999997,0.370000000000005,-0.000843779932273026,0.00204900240664774,-0.00121481258118811,-9.04896400422753E-05,0.000100079746855628,0,0.0300000000000002,-0.129999999999997,-0.0499999999999972,0.140000000000001,-0.00155654948182865,0.00228126780620708,-0.000791582372587113,-3.01485503572396E-05,9.70125985658909E-05,0,0.0300000000000002,-0.109999999999999,0.0600000000000023,1.4210854715202E-14,0.00846257476781547,0.00035246708028973,0.0338503987348161,0.00140987247215586
1305,0,-19.871463828557,4,20,0.0119000868592584,0.0148360600099147,0.00239545446396382,0.0146726573436131,0.00457008474605046,-0.000915372253108685,1,0,2,1,5,0,2,4,0.00430161166154608,-0.00308672879457245,-0.00116050343024926,1.98867362026685E-05,-7.4266172927009E-05,0.01,-0.11,-0.149999999999997,-0.0300000000000011,0.280000000000001,0.0192952900190235,-0.0115224318980246,-0.00753887199232844,-0.000213595987242108,-2.03901414283247E-05,0.02,-0.5,-1.26,-0.389999999999999,2.09999999999999,0.0216117261392984,-0.0143395979473002,-0.00716694352798744,-0.000168583998418195,6.33993344074041E-05,0.01,-0.62,-1.33,-0.600000000000001,2.53,0.0243177660844607,0.000569227637408421,0.0972713144674546,0.00227691640464057
