no,pricechangepercent,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4
0054,-0.196326530612245,2,18,0,0,0.0256024096385542,0,0,0.0109186746987952,0,0,0,0,0,0,0,0,-0.00077338141374915,0.000593740299710044,0.000159167310600783,1.78320223494684E-05,2.64178108881023E-06,-0.01,-0.00999999999999801,0.019999999999996,0,-0.00999999999999801,0.000155486157778918,-0.00168267647020071,0.00144549419562265,7.11546823734012E-05,1.05414344256896E-05,0,-0.0599999999999987,0.0999999999999943,0,-0.0600000000000023,0.00104191333175468,-0.00292446128344781,0.00176020206804009,0.000106559318020363,1.57865656326465E-05,0,-0.189999999999998,0.119999999999997,0,0.0600000000000023
0055,-0.186842105263158,19,5,0,0,0.0784591313362798,-2.7282152016151E-05,0,0.0147173569051127,0,0,0,0,0,0,0,0,6.19321291315533E-05,-6.79107257556266E-05,-0.000590041497592453,0.000592034363133827,-0.000272715984467913,0,-0.190000000000001,-0.510000000000002,0.289999999999999,-1.39,-0.000507094648211713,-0.00108886576865774,0.000456875870682438,0.00113609442050214,2.99012568494945E-06,-0.01,-0.200000000000001,-0.48,0.489999999999998,0.18,-0.00102598564557783,-0.000779061453648922,0.00194687222845177,-0.000357883797162714,0.000216058667937753,0,-0.16,-0.0100000000000016,-0.220000000000002,0.379999999999995
1103,-0.246268656716418,0,20,0.00244253550877738,2.22424272840675E-05,0.00019876596075822,0.001180242589157,-4.72649966426364E-06,0.000258137611374311,0,0,0,1,1,1,1,3,-0.0039386590909416,0.00313979638688558,0.000891263957918373,-6.51878920384652E-05,-2.72133618239153E-05,0,0.04,0.100000000000001,-0.0600000000000005,-0.0800000000000125,-0.00633557852250366,0.00412103788298401,0.00190526173447564,0.000277639539876723,3.16393651672957E-05,0,0.0699999999999998,0.190000000000001,0,-0.250000000000014,-0.00864293761927759,0.00509430480458969,0.00289389080794199,0.000571954468622744,8.2787538123125E-05,0,0.11,0.32,0.2,-0.620000000000005
1203,-0.0402930402930403,3,20,0.000318408333333333,0,0,0.000147575,0,4.16666666666667E-06,0,0,0,0,0,0,0,0,-0.000273034594980959,0.000334035881837669,-2.9524876798144E-05,-3.17199614093926E-05,2.4355135089249E-07,0,0.00999999999999979,0,-0.0300000000000002,0.019999999999996,9.64714172914105E-05,1.72834477946832E-05,-8.49002161039669E-05,-2.99096978090439E-05,1.05504882691064E-06,0,0,0,-0.0300000000000002,0.019999999999996,-0.000146592095384812,0.000360634764844825,-0.000119895944846408,-6.27055167197058E-05,-3.14412078938919E-05,0,0.00999999999999979,0.04,-0.0700000000000003,0.0100000000000051
1218,0.0382882882882884,0,20,0.00508870979067764,0,-2.40000461760888E-05,0.00187174360123469,0,8.00001539202961E-06,0,0,0,0,3,0,0,1,0.000574269126609961,-0.000121649487738879,-0.000226827761539566,-0.000207702737652003,-1.80891396795438E-05,0,-0.00999999999999979,-0.0300000000000002,-0.12,0.159999999999997,0.0017178589636142,-0.00102688487994412,-0.000592697154434774,-8.58693910415461E-05,-1.24075381937594E-05,0,-0.02,-0.100000000000001,-0.0999999999999996,0.22999999999999,0.00772825835031188,-0.00585607650178563,-0.00181525735038855,-4.95832837901691E-06,-5.19661697587223E-05,0,-0.15,-0.32,-0.0600000000000005,0.549999999999997
1315,-0.0162337662337662,0,20,0.000743661616161616,0,0.000257575757575758,1.13383838383838E-05,0,0.000262626262626263,0,0,0,0,0,0,0,0,-0.0131476333317627,0.0106821614032043,0.00180270380485906,0.000790904107843039,-0.000128135984143681,0,0.12,0.14,0.32,-0.590000000000018,-0.0210233104020208,0.0179302571919994,0.00270999359753596,0.000843254703845674,-0.000578762793518109,0,0.19,0.16,0.55,-0.890000000000001,-0.0169246247279169,0.0161275112785004,0.000458541038982775,0.000457430343765317,-0.000118857933331575,0,0.16,0.0199999999999996,0.310000000000001,-0.490000000000009
1321,-0.322448979591837,0,20,-0.00212389067719338,0,8.80172179985987E-06,-0.00132293399340614,0,8.80172179985987E-06,0,0,0,0,1,0,0,0,-0.000554266989333585,0.000247637663304878,0.000255206138018854,-0.000416831976536872,0.000468255164546773,0,0,-0.04,-0.0600000000000005,0.0799999999999983,-0.000162396057176106,-0.0038811387843618,0.00310436077151813,0.000631101271719156,0.00030807279830064,0,-0.02,0.00999999999999979,-0.00999999999999979,-0.0100000000000051,0.00172842774046905,-0.00433971692700519,-0.000712658665902144,0.00288101554558302,0.000442932306855291,-0.01,-0.02,-0.11,0.200000000000001,-0.0700000000000074
1323,-0.129411764705882,20,7,0.000558753757372509,0,0,-0.000482062065184126,0,0,0,0,0,0,0,0,0,1,9.47481212809631E-05,-0.000316354453927192,0.00017851160827223,3.41442816193839E-05,8.95044275459576E-06,0,-0.0300000000000002,-0.00999999999999979,-0.0199999999999996,0.039999999999992,0.000184870037342688,-0.000364303163607527,0.000365914658026739,-0.000198680695122182,1.21991633602915E-05,0,-0.04,0.0199999999999996,-0.169999999999998,0.169999999999995,-0.00223319403574923,0.00147374863169381,0.000656161916139542,0.000107359871739453,-4.0763838236044E-06,0,0.00999999999999979,0.0799999999999983,0.0800000000000018,-0.18
1414,-0.204450625869263,10,20,-0.000290909090909091,0,9.09090909090909E-06,0.000145454545454545,0,9.09090909090909E-06,0,0,0,0,2,0,0,0,7.88032541029215E-05,-9.77111347686133E-05,-2.61836292256568E-05,4.34045750931124E-05,1.68693479828423E-06,0,-0.00999999999999979,-0.0199999999999996,0,0.0300000000000011,0.000522612143103784,-0.000426869659210766,2.27517559289597E-05,-0.00015703167918551,3.85374393635221E-05,0,-0.0299999999999994,0.0100000000000016,-0.120000000000001,0.13000000000001,0.00135146016575638,-0.000814072444912967,-0.000259746490517382,-0.000353655345168321,7.60141148423584E-05,0,-0.0499999999999998,-0.0599999999999987,-0.210000000000001,0.320000000000007
1437,-0.265625,0,20,0.0013972424936846,-0.000968671663596322,0.000275358442443624,0.000923734149212531,0,0.000285192672530897,0,0,0,0,3,0,0,0,0.000422201317027249,-0.00125921089037684,0.00100523490675669,-0.000172917934812687,4.69260140556829E-06,0,-0.02,0.0199999999999996,-1.77635683940025E-15,0.019999999999996,0.000372295836857439,-0.00130000165840227,0.00114595156359698,-0.000233246543613216,1.50008015611103E-05,0,-0.02,0.04,-0.0400000000000009,0.0499999999999972,-0.00146050357008642,-0.00167836947631361,0.00315722085903133,-0.000224055529765461,0.000205707717134206,0,0,0.16,-0.330000000000002,0.170000000000002
