no,pricechangepercent,Revenuegrow,Below60times,Above60times,for60buy,trust60buy,self60buy,for30buy,trust30buy,self30buy,buysamedays,sellsamedays,FTBDays,TSBDays,SFBDays,FTSDays,TSSDays,SFSDays,P0RateOf0_1,P1RateOf0_1,P2-5RateOf0_1,P6-9RateOf0_1,P10-16RateOf0_1,H0RateOf0_1,H1RateOf0_1,H2-5RateOf0_1,H6-9RateOf0_1,H10-16RateOf0_1,P0RateOf1_2,P1RateOf1_2,P2-5RateOf1_2,P6-9RateOf1_2,P10-16RateOf1_2,H0RateOf1_2,H1RateOf1_2,H2-5RateOf1_2,H6-9RateOf1_2,H10-16RateOf1_2,P0RateO41_4,P1RateOf4_4,P2-5RateOf4_4,P6-9RateOf4_4,P10-16RateOf4_4,H0RateOf4_4,H1RateOf4_4,H2-5RateOf4_4,H6-9RateOf4_4,H10-16RateOf4_4,Fin,Mar,Finrate,Marrate
1104,0,8.71828868882806,0,20,0.0029541858095533,-6.11986497276801E-06,-0.000142286860616856,0.00269274058801792,-6.11986497276801E-06,-0.000105567670780248,0,1,0,0,3,1,1,4,0.000939028890568405,-0.00108459374175357,-2.6917629057821E-05,6.97023973704226E-05,0.000102780082872519,0,-0.00999999999999979,-0.0500000000000007,-0.0899999999999999,0.150000000000006,0.000403661896297924,-0.000340720969942199,1.16689143488113E-05,-0.000150886669173299,7.6276828468707E-05,0,0,-0.0300000000000002,-0.18,0.210000000000008,0.0068397994997148,-0.00278926325184947,-0.00425700547269756,-0.000154453050240057,0.000360922275072261,0,-0.0800000000000001,-0.340000000000001,-0.24,0.660000000000011,0.00282278771868924,3.059932486384E-05,0.0112911714666895,0.000122397522674141
1108,0,26.857027460898,0,20,-0.00188516993123125,0,-0.000123536692741235,-0.00160597700563606,0,-2.22366046934223E-05,0,0,0,0,2,0,0,1,-0.000180701120346904,-0.00298156848572462,0.00280086736537766,0.000542103361040838,-0.000180701120346946,0,-0.04,0.179999999999999,0.18,-0.340000000000003,0.00149768709391612,-0.00863902982333936,0.00605425135504711,0.00113682928055667,-4.97379061805761E-05,0,-0.0900000000000003,0.209999999999999,0.120000000000001,-0.240000000000009,-0.0223538334312985,0.0154197536586158,0.00676666805409179,0.00130534931600752,-0.00113793759741653,0,0.22,0.58,0.68,-1.47000000000001,0.00873404417680533,2.22366046934223E-05,0.0349363535736875,8.89468690702087E-05
1109,0,-7.35176840734109,0,20,0.0042819690290033,2.04703580617715E-05,-8.77301059790208E-05,0.00504356870069151,2.04703580617715E-05,-7.89570953811187E-05,0,0,1,0,0,0,2,1,-0.00115200560695827,0.00185963969794517,0.00133884239092605,-0.00219338201745323,0.000146905535540229,-0.01,0.01,0.0600000000000001,-0.119999999999999,0.0600000000000023,-0.0284993288650928,0.0409548701320396,-0.00627589046524826,-0.00550227731723674,-0.000677373484461834,-0.01,0.27,0.0699999999999998,-0.0399999999999991,-0.310000000000002,-0.0436502170357088,0.0528550042116761,-0.00315320523181911,-0.00411607289054473,-0.00193550905360356,-0.01,0.37,0.33,0.470000000000001,-1.16,0.0046321495956923,1.16973474638694E-05,0.0185286995987788,4.67896454514616E-05
1110,0,-2.27359891433685,15,17,-0.000459789569139359,0,0,-0.000249999651661325,0,0,0,0,0,0,0,0,0,0,-0.00029916305757649,-4.77326936815237E-05,0.000536714896561874,-0.000187259029058397,-2.56011624544771E-06,0,0,0.01,0,0,-0.000985350396756512,4.77151770967299E-05,0.00093137197129009,-0.000179782166915568,0.000186045415285356,0,0,0.02,0.02,-0.0100000000000051,-0.00183519911910435,0.000917599559552229,0.00110111947146266,-0.000183519911910443,0,0,0,0.03,0.01,-0.0400000000000063,0.00144929867991076,0,0.0057972027972028,0
1203,0,-3.6399969362818,0,20,-0.000586666666666667,0,-1.25E-05,-0.000204166666666667,0,-1.25E-05,0,0,0,0,0,0,0,0,0.00049199047389803,-0.000732011047921019,0.00017281790242904,6.58667221199371E-05,1.33594947410989E-06,0,-0.02,-0.00999999999999979,0.0199999999999996,-0.00999999999999091,0.00170639005994511,-0.00171051600580027,-4.16970892165996E-05,4.09319866356891E-05,4.89104843609967E-06,0,-0.04,-0.02,0,0.0600000000000023,0.00306405560857448,-0.00312932791870316,1.32529663687611E-05,4.49856465251537E-05,7.0336972348168E-06,0.01,-0.0700000000000003,-0.0499999999999994,0.0300000000000002,0.110000000000014,0.00151666666666667,0,0.00606666666666667,0
1217,0,1.48798221543739,4,17,-0.00480891985489346,0,-1.0110950779293E-05,-0.00246924584456505,0,-4.04438031171722E-06,0,0,0,0,0,0,0,0,0.000481932266249929,-0.000333683245581501,2.54019410656225E-05,-0.000150522062417929,-2.31288993160438E-05,0,-0.0400000000000009,-0.0399999999999991,-0.0700000000000038,0.159999999999989,0.00224666399994722,-0.00171746096166667,-0.000471426600775371,-0.000146586324551855,8.88098870466948E-05,0.01,-0.0899999999999999,-0.210000000000001,-0.200000000000003,0.529999999999994,0.00768763716600929,-0.0056542924120826,-0.00219968475062543,0.000101003186212225,6.53368104865872E-05,0,-0.350000000000001,-0.789999999999999,-0.100000000000005,1.27,0.0192310283822154,0.00151259823658224,0.0769243213511502,0.00605040929239331
1220,0,-4.18702878182721,13,20,0.000875320757056,0,0,0.00121415459849703,0,0,0,0,0,0,0,0,0,0,0.00177114892310137,-0.00129145973266873,-0.000373560964894326,-0.000214250222534688,0.000108121996996326,0,-0.00999999999999979,-0.0899999999999999,-0.160000000000002,0.259999999999991,0.00192325095291168,-0.00136129364939719,-0.000571800407489241,-0.000106885426727554,0.00011672853070232,0,-0.02,-0.14,-0.140000000000001,0.280000000000001,0.00305191255408577,-0.00228155360342969,-0.000502777878978601,-0.000318470629983209,5.08895583057221E-05,0,-0.00999999999999979,-0.149999999999999,-0.15,0.310000000000002,0.00198782520312072,0,0.00795138810454268,0
1236,0,-15.8041235571114,2,20,9.30382727887696E-05,0,-2.76899621395148E-05,0.000333017944664564,0,0,0,0,0,0,0,0,0,0,0.000365638678998859,-3.24232905429128E-05,-0.000292419811941728,-6.77462120026273E-05,2.69506354883694E-05,0.02,0.0100000000000002,-0.0300000000000002,-0.0700000000000003,0.0500000000000114,0.00123998011890736,-0.000790445320295485,-0.000452845466840875,-1.21348353414432E-05,1.54455035703469E-05,0.03,0.0100000000000002,-0.080000000000001,0.04,-0.019999999999996,0.0021873447253713,-0.00164875307846277,-0.000380360051969361,-0.000161132906875234,2.90131193601958E-06,0.05,-0.00999999999999979,0,-0.0800000000000001,0.0100000000000051,0.000563029230170134,0,0.00225216909728632,0
1256,0,-12.3563687158623,0,20,0.00307308989733516,-0.00876025643753236,5.90978826410607E-05,0.00449143908072062,-0.00450520888737598,5.90978826410607E-05,0,0,0,0,3,2,1,1,0.0036759496279884,-0.00183337412609935,-0.0024300833460619,0.000316297292771214,0.000271210551401645,-0.01,-0.17,-0.420000000000002,-0.0799999999999983,0.679999999999993,0.0169073433764218,-0.0161327717366301,-0.00175548315187116,0.000664569257545411,0.000316342254534125,0.01,-0.52,-0.32,0.120000000000001,0.709999999999994,0.0259002816262751,-0.0271092518788051,-0.00129610324370343,0.00184979783812379,0.000655275658109702,0,-0.91,-0.35,0.240000000000002,1.00999999999999,0.00638257132523456,0.000325038354525834,0.025531914893617,0.00130023640661939
1304,0,-19.1438448228308,0,20,0.0233391831091718,0.00886046719974158,0.000413875426020399,0.0249121040476091,0.00886046719974158,0.000211984974303131,2,0,2,4,5,0,1,4,-0.00880422233813488,0.00983134296883087,-0.000463193707049586,-0.000370762292356695,-0.000193164631289676,0,0.28,0.199999999999999,0.150000000000002,-0.609999999999999,-0.0069169792237872,0.0132922813253443,-0.00457624922215441,-0.00155804577654022,-0.000241007102862399,0.01,0.350000000000001,-0.0999999999999996,-0.42,0.159999999999997,-0.00440475419463504,0.0269701864493082,-0.0162986453817743,-0.00578600734059858,-0.00048077953230026,0.02,0.58,-0.74,-1.89,2.02999999999999,0.0101298534149139,0.000380227017400854,0.0405195329587133,0.00152091254752852
